numEmpleado,anio,conceptoCodigo,importeAnual,gravadoAnual,exentoAnual,mes01,mes02,mes03,mes04,mes05,mes06,mes07,mes08,mes09,mes10,mes11,mes12
001,2026,SUELDO,122700.14,122700.14,0,23051.96,20242.91,24973.3,20249.53,20097.75,14084.69,0,0,0,0,0,0
001,2026,PREMIO_ASISTENCIA,10669.57,10669.57,0,2004.52,1760.24,2171.59,1760.83,1747.63,1224.76,0,0,0,0,0,0
001,2026,ISR,18699.53,0,0,3513.13,3085.02,3805.94,3086.02,3062.91,2146.51,0,0,0,0,0,0
001,2026,IMSS_OBRERO,7272.07,0,0,1366.21,1199.74,1480.1,1200.13,1191.13,834.76,0,0,0,0,0,0
001,2026,PERCEPCIONES_GRAVADAS,133369.71,133369.71,0,25056.48,22003.15,27144.89,22010.36,21845.38,15309.45,0,0,0,0,0,0
001,2026,DEDUCCIONES_TOTALES,25971.6,0,0,4879.34,4284.76,5286.04,4286.15,4254.04,2981.27,0,0,0,0,0,0
001,2026,NETO_PAGAR,107398.11,0,0,20177.14,17718.39,21858.85,17724.21,17591.34,12328.18,0,0,0,0,0,0
002,2026,SUELDO,99092.96,99092.96,0,18571.06,16348.48,20198.05,16310.14,16312.77,11352.46,0,0,0,0,0,0
002,2026,PREMIO_ASISTENCIA,8616.79,8616.79,0,1614.88,1421.61,1756.36,1418.27,1418.5,987.17,0,0,0,0,0,0
002,2026,ISR,8183.71,0,0,1533.72,1350.16,1668.08,1346.98,1347.21,937.56,0,0,0,0,0,0
002,2026,IMSS_OBRERO,3182.59,0,0,596.44,525.06,648.71,523.85,523.92,364.61,0,0,0,0,0,0
002,2026,PERCEPCIONES_GRAVADAS,107709.75,107709.75,0,20185.94,17770.09,21954.41,17728.41,17731.27,12339.63,0,0,0,0,0,0
002,2026,DEDUCCIONES_TOTALES,11366.3,0,0,2130.16,1875.22,2316.79,1870.83,1871.13,1302.17,0,0,0,0,0,0
002,2026,NETO_PAGAR,96343.45,0,0,18055.78,15894.87,19637.62,15857.58,15860.14,11037.46,0,0,0,0,0,0
007,2026,SUELDO,80795.32,80795.32,0,15316.8,13194.59,16588.6,13243.08,13156.19,9296.06,0,0,0,0,0,0
007,2026,PREMIO_ASISTENCIA,7025.65,7025.65,0,1331.89,1147.35,1442.48,1151.57,1144.01,808.35,0,0,0,0,0,0
007,2026,ISR,8290.43,0,0,1571.67,1353.89,1702.16,1358.88,1349.95,953.88,0,0,0,0,0,0
007,2026,IMSS_OBRERO,3224.07,0,0,611.21,526.52,661.95,528.45,524.99,370.95,0,0,0,0,0,0
007,2026,PERCEPCIONES_GRAVADAS,87820.97,87820.97,0,16648.69,14341.94,18031.08,14394.65,14300.2,10104.41,0,0,0,0,0,0
007,2026,DEDUCCIONES_TOTALES,11514.5,0,0,2182.88,1880.41,2364.11,1887.33,1874.94,1324.83,0,0,0,0,0,0
007,2026,NETO_PAGAR,76306.47,0,0,14465.81,12461.53,15666.97,12507.32,12425.26,8779.58,0,0,0,0,0,0
